NeuS2 Evaluation Log
==================================================
Dataset: nerf_synthetic
Scene: lego
Checkpoint: /home/nilkel/Projects/NeuS/NeuS2/nerf_synthetic/lego/surface/cleanfixed/checkpoints/20000.msgpack
Test JSON: /home/nilkel/Projects/data/nerf_synthetic/lego/transforms_test.json
Background Color: black
Samples per Pixel: 8
Start Time: 2025-08-22 13:24:22
Output Path: nerf_synthetic/lego/surface/cleanfixed/evaluation
==================================================

Frame 0 (./test/r_0): PSNR=34.38, SSIM=0.976, LPIPS=0.036
Frame 50 (./test/r_50): PSNR=32.98, SSIM=0.971, LPIPS=0.041
Frame 51 (./test/r_51): PSNR=32.96, SSIM=0.971, LPIPS=0.039
Frame 52 (./test/r_52): PSNR=33.05, SSIM=0.970, LPIPS=0.039
Frame 53 (./test/r_53): PSNR=33.15, SSIM=0.969, LPIPS=0.039
Frame 54 (./test/r_54): PSNR=33.18, SSIM=0.970, LPIPS=0.038
Frame 55 (./test/r_55): PSNR=33.19, SSIM=0.971, LPIPS=0.037
Frame 56 (./test/r_56): PSNR=33.21, SSIM=0.972, LPIPS=0.036
Frame 57 (./test/r_57): PSNR=33.24, SSIM=0.972, LPIPS=0.035
Frame 58 (./test/r_58): PSNR=33.25, SSIM=0.973, LPIPS=0.034
Frame 59 (./test/r_59): PSNR=33.24, SSIM=0.974, LPIPS=0.033
Frame 60 (./test/r_60): PSNR=33.26, SSIM=0.974, LPIPS=0.033
Frame 61 (./test/r_61): PSNR=33.21, SSIM=0.975, LPIPS=0.033
Frame 62 (./test/r_62): PSNR=33.12, SSIM=0.975, LPIPS=0.033
Frame 63 (./test/r_63): PSNR=33.19, SSIM=0.976, LPIPS=0.033
Frame 64 (./test/r_64): PSNR=33.34, SSIM=0.976, LPIPS=0.032
Frame 65 (./test/r_65): PSNR=33.47, SSIM=0.977, LPIPS=0.031
Frame 66 (./test/r_66): PSNR=33.50, SSIM=0.978, LPIPS=0.031
Frame 67 (./test/r_67): PSNR=33.49, SSIM=0.978, LPIPS=0.030
Frame 68 (./test/r_68): PSNR=33.61, SSIM=0.978, LPIPS=0.031
Frame 69 (./test/r_69): PSNR=33.69, SSIM=0.978, LPIPS=0.031
Frame 70 (./test/r_70): PSNR=33.66, SSIM=0.978, LPIPS=0.032
Frame 71 (./test/r_71): PSNR=33.45, SSIM=0.977, LPIPS=0.033
Frame 72 (./test/r_72): PSNR=33.12, SSIM=0.976, LPIPS=0.035
Frame 73 (./test/r_73): PSNR=32.79, SSIM=0.974, LPIPS=0.038
Frame 74 (./test/r_74): PSNR=32.77, SSIM=0.973, LPIPS=0.041
Frame 75 (./test/r_75): PSNR=32.36, SSIM=0.971, LPIPS=0.043
Frame 76 (./test/r_76): PSNR=32.37, SSIM=0.971, LPIPS=0.045
Frame 77 (./test/r_77): PSNR=32.32, SSIM=0.970, LPIPS=0.045
Frame 78 (./test/r_78): PSNR=32.11, SSIM=0.970, LPIPS=0.046
Frame 79 (./test/r_79): PSNR=31.97, SSIM=0.969, LPIPS=0.046
Frame 80 (./test/r_80): PSNR=31.88, SSIM=0.968, LPIPS=0.045
Frame 81 (./test/r_81): PSNR=31.84, SSIM=0.968, LPIPS=0.045
Frame 82 (./test/r_82): PSNR=31.82, SSIM=0.968, LPIPS=0.044
Frame 83 (./test/r_83): PSNR=31.77, SSIM=0.968, LPIPS=0.044
Frame 84 (./test/r_84): PSNR=31.91, SSIM=0.967, LPIPS=0.044
Frame 85 (./test/r_85): PSNR=32.07, SSIM=0.967, LPIPS=0.043
Frame 86 (./test/r_86): PSNR=32.49, SSIM=0.968, LPIPS=0.044
Frame 87 (./test/r_87): PSNR=32.72, SSIM=0.968, LPIPS=0.043
Frame 88 (./test/r_88): PSNR=32.89, SSIM=0.969, LPIPS=0.042
Frame 89 (./test/r_89): PSNR=32.95, SSIM=0.969, LPIPS=0.042
Frame 90 (./test/r_90): PSNR=32.90, SSIM=0.970, LPIPS=0.042
Frame 91 (./test/r_91): PSNR=33.06, SSIM=0.971, LPIPS=0.042
Frame 92 (./test/r_92): PSNR=33.31, SSIM=0.972, LPIPS=0.042
Frame 93 (./test/r_93): PSNR=33.83, SSIM=0.974, LPIPS=0.040
Frame 94 (./test/r_94): PSNR=34.37, SSIM=0.976, LPIPS=0.038
Frame 95 (./test/r_95): PSNR=35.13, SSIM=0.978, LPIPS=0.037
Frame 96 (./test/r_96): PSNR=36.13, SSIM=0.980, LPIPS=0.036
Frame 97 (./test/r_97): PSNR=36.24, SSIM=0.981, LPIPS=0.036
Frame 98 (./test/r_98): PSNR=36.02, SSIM=0.981, LPIPS=0.036
Frame 99 (./test/r_99): PSNR=35.42, SSIM=0.980, LPIPS=0.036
Frame 100 (./test/r_100): PSNR=35.45, SSIM=0.980, LPIPS=0.037
Frame 101 (./test/r_101): PSNR=36.22, SSIM=0.980, LPIPS=0.036
Frame 102 (./test/r_102): PSNR=37.11, SSIM=0.981, LPIPS=0.034
Frame 103 (./test/r_103): PSNR=37.66, SSIM=0.981, LPIPS=0.033
Frame 104 (./test/r_104): PSNR=36.33, SSIM=0.979, LPIPS=0.035
Frame 105 (./test/r_105): PSNR=35.48, SSIM=0.979, LPIPS=0.037
Frame 106 (./test/r_106): PSNR=36.42, SSIM=0.979, LPIPS=0.037
Frame 107 (./test/r_107): PSNR=37.27, SSIM=0.979, LPIPS=0.037
Frame 108 (./test/r_108): PSNR=37.77, SSIM=0.980, LPIPS=0.036
Frame 109 (./test/r_109): PSNR=37.83, SSIM=0.981, LPIPS=0.036
Frame 110 (./test/r_110): PSNR=37.69, SSIM=0.980, LPIPS=0.035
Frame 111 (./test/r_111): PSNR=37.65, SSIM=0.981, LPIPS=0.036
Frame 112 (./test/r_112): PSNR=37.50, SSIM=0.981, LPIPS=0.035
Frame 113 (./test/r_113): PSNR=37.13, SSIM=0.981, LPIPS=0.033
Frame 114 (./test/r_114): PSNR=36.64, SSIM=0.981, LPIPS=0.033
Frame 115 (./test/r_115): PSNR=36.32, SSIM=0.981, LPIPS=0.035
Frame 116 (./test/r_116): PSNR=35.87, SSIM=0.980, LPIPS=0.034
Frame 117 (./test/r_117): PSNR=35.62, SSIM=0.980, LPIPS=0.034
Frame 118 (./test/r_118): PSNR=35.63, SSIM=0.980, LPIPS=0.034
Frame 119 (./test/r_119): PSNR=35.75, SSIM=0.980, LPIPS=0.034
Frame 120 (./test/r_120): PSNR=35.63, SSIM=0.981, LPIPS=0.036
Frame 121 (./test/r_121): PSNR=35.75, SSIM=0.980, LPIPS=0.036
Frame 122 (./test/r_122): PSNR=35.63, SSIM=0.981, LPIPS=0.036
Frame 123 (./test/r_123): PSNR=35.65, SSIM=0.982, LPIPS=0.034
Frame 124 (./test/r_124): PSNR=35.94, SSIM=0.982, LPIPS=0.034
Frame 125 (./test/r_125): PSNR=35.97, SSIM=0.983, LPIPS=0.036
Frame 126 (./test/r_126): PSNR=35.81, SSIM=0.982, LPIPS=0.035
Frame 127 (./test/r_127): PSNR=35.26, SSIM=0.981, LPIPS=0.034
Frame 128 (./test/r_128): PSNR=34.68, SSIM=0.982, LPIPS=0.033
Frame 129 (./test/r_129): PSNR=34.29, SSIM=0.982, LPIPS=0.032
Frame 130 (./test/r_130): PSNR=34.25, SSIM=0.983, LPIPS=0.032
Frame 131 (./test/r_131): PSNR=34.39, SSIM=0.983, LPIPS=0.031
Frame 132 (./test/r_132): PSNR=34.48, SSIM=0.983, LPIPS=0.031
Frame 133 (./test/r_133): PSNR=34.33, SSIM=0.983, LPIPS=0.032
Frame 134 (./test/r_134): PSNR=33.99, SSIM=0.982, LPIPS=0.032
Frame 135 (./test/r_135): PSNR=33.72, SSIM=0.981, LPIPS=0.033
Frame 136 (./test/r_136): PSNR=33.27, SSIM=0.979, LPIPS=0.035
Frame 137 (./test/r_137): PSNR=33.04, SSIM=0.978, LPIPS=0.035
Frame 138 (./test/r_138): PSNR=32.91, SSIM=0.977, LPIPS=0.036
Frame 139 (./test/r_139): PSNR=32.82, SSIM=0.976, LPIPS=0.037
Frame 140 (./test/r_140): PSNR=32.87, SSIM=0.975, LPIPS=0.037
Frame 141 (./test/r_141): PSNR=32.97, SSIM=0.975, LPIPS=0.037
Frame 142 (./test/r_142): PSNR=32.92, SSIM=0.974, LPIPS=0.037
Frame 143 (./test/r_143): PSNR=32.66, SSIM=0.973, LPIPS=0.038
Frame 144 (./test/r_144): PSNR=32.40, SSIM=0.972, LPIPS=0.037
Frame 145 (./test/r_145): PSNR=30.75, SSIM=0.970, LPIPS=0.039
Frame 146 (./test/r_146): PSNR=29.43, SSIM=0.970, LPIPS=0.038
Frame 147 (./test/r_147): PSNR=29.33, SSIM=0.971, LPIPS=0.039
Frame 148 (./test/r_148): PSNR=29.42, SSIM=0.972, LPIPS=0.039
Frame 149 (./test/r_149): PSNR=30.85, SSIM=0.972, LPIPS=0.038
Frame 150 (./test/r_150): PSNR=33.11, SSIM=0.971, LPIPS=0.040
Frame 151 (./test/r_151): PSNR=32.96, SSIM=0.971, LPIPS=0.039
Frame 152 (./test/r_152): PSNR=33.02, SSIM=0.969, LPIPS=0.040
Frame 153 (./test/r_153): PSNR=33.11, SSIM=0.967, LPIPS=0.041
Frame 154 (./test/r_154): PSNR=32.98, SSIM=0.967, LPIPS=0.042
Frame 155 (./test/r_155): PSNR=32.97, SSIM=0.967, LPIPS=0.043
Frame 156 (./test/r_156): PSNR=32.93, SSIM=0.967, LPIPS=0.042
Frame 157 (./test/r_157): PSNR=32.95, SSIM=0.968, LPIPS=0.041
Frame 158 (./test/r_158): PSNR=32.98, SSIM=0.969, LPIPS=0.039
Frame 159 (./test/r_159): PSNR=33.06, SSIM=0.970, LPIPS=0.037
Frame 160 (./test/r_160): PSNR=33.15, SSIM=0.971, LPIPS=0.035
Frame 161 (./test/r_161): PSNR=33.18, SSIM=0.972, LPIPS=0.035
Frame 162 (./test/r_162): PSNR=33.14, SSIM=0.972, LPIPS=0.034
Frame 163 (./test/r_163): PSNR=33.13, SSIM=0.973, LPIPS=0.034
Frame 164 (./test/r_164): PSNR=33.03, SSIM=0.973, LPIPS=0.033
Frame 165 (./test/r_165): PSNR=32.94, SSIM=0.973, LPIPS=0.034
Frame 166 (./test/r_166): PSNR=32.95, SSIM=0.973, LPIPS=0.034
Frame 167 (./test/r_167): PSNR=32.93, SSIM=0.973, LPIPS=0.034
Frame 168 (./test/r_168): PSNR=32.82, SSIM=0.973, LPIPS=0.034
Frame 169 (./test/r_169): PSNR=32.66, SSIM=0.973, LPIPS=0.035
Frame 170 (./test/r_170): PSNR=32.89, SSIM=0.974, LPIPS=0.035
Frame 171 (./test/r_171): PSNR=32.89, SSIM=0.974, LPIPS=0.036
Frame 172 (./test/r_172): PSNR=33.05, SSIM=0.974, LPIPS=0.038
Frame 173 (./test/r_173): PSNR=33.39, SSIM=0.974, LPIPS=0.037
Frame 174 (./test/r_174): PSNR=33.60, SSIM=0.974, LPIPS=0.037
Frame 175 (./test/r_175): PSNR=33.82, SSIM=0.975, LPIPS=0.038
Frame 176 (./test/r_176): PSNR=33.83, SSIM=0.975, LPIPS=0.036
Frame 177 (./test/r_177): PSNR=33.67, SSIM=0.974, LPIPS=0.037
Frame 178 (./test/r_178): PSNR=33.64, SSIM=0.974, LPIPS=0.036
Frame 179 (./test/r_179): PSNR=33.54, SSIM=0.974, LPIPS=0.036
Frame 180 (./test/r_180): PSNR=33.82, SSIM=0.975, LPIPS=0.034
Frame 181 (./test/r_181): PSNR=34.22, SSIM=0.976, LPIPS=0.035
Frame 182 (./test/r_182): PSNR=34.36, SSIM=0.976, LPIPS=0.034
Frame 183 (./test/r_183): PSNR=34.56, SSIM=0.977, LPIPS=0.033
Frame 184 (./test/r_184): PSNR=34.64, SSIM=0.977, LPIPS=0.033
Frame 185 (./test/r_185): PSNR=34.61, SSIM=0.978, LPIPS=0.032
Frame 186 (./test/r_186): PSNR=34.50, SSIM=0.977, LPIPS=0.033
Frame 187 (./test/r_187): PSNR=34.49, SSIM=0.977, LPIPS=0.033
Frame 188 (./test/r_188): PSNR=34.49, SSIM=0.977, LPIPS=0.033
Frame 189 (./test/r_189): PSNR=34.55, SSIM=0.977, LPIPS=0.033
Frame 190 (./test/r_190): PSNR=34.52, SSIM=0.977, LPIPS=0.031
Frame 191 (./test/r_191): PSNR=34.65, SSIM=0.978, LPIPS=0.030
Frame 192 (./test/r_192): PSNR=34.80, SSIM=0.978, LPIPS=0.030
Frame 193 (./test/r_193): PSNR=34.91, SSIM=0.979, LPIPS=0.028
Frame 194 (./test/r_194): PSNR=35.09, SSIM=0.980, LPIPS=0.029
Frame 195 (./test/r_195): PSNR=35.32, SSIM=0.980, LPIPS=0.028
Frame 196 (./test/r_196): PSNR=35.52, SSIM=0.980, LPIPS=0.029
Frame 197 (./test/r_197): PSNR=35.46, SSIM=0.981, LPIPS=0.029
Frame 198 (./test/r_198): PSNR=35.25, SSIM=0.980, LPIPS=0.031
Frame 199 (./test/r_199): PSNR=35.03, SSIM=0.978, LPIPS=0.034

EVALUATION SUMMARY:
==============================
Total images evaluated: 200
Background color: black
Samples per pixel: 8
Average PSNR: 33.16
Average SSIM: 0.975
Average LPIPS: 0.036
PSNR Range: [23.49, 37.83]
Evaluation completed at: 2025-08-22 13:26:07
==============================
